label,category
DBN,"关于上云的话题，亚马逊云科技官方账号必须来答一波！企业为什么上云？从根本上说，企业的目的就是盈利。企业要盈利，无非四个字，开源节流。开源，是拓展业务、增加营收；节流，是降低成本。基本上所有企业上云的意愿，都是围绕着这两点去展开的。不过，根据亚马逊云科技大量的服务案例来看，处于不同行业、不同市场阶段的企业，上云的思路是很不一样的。老规律，案例+知识点，讲清楚企业上云这件事。喜欢看美剧的朋友们，一定对Netflix很熟悉。2008 年，随着海量视频快速上线，Netflix 的 IT 资源撑到了极限。随后又遭遇了一场自然灾害，导致其自建的数据中心几乎三天都处于休克状态。而继续扩大数据中心建设，将会带来极大的 IT 支出。亚马逊云科技通过弹性扩容、按需收费，完美解决了 Netflix 的忧虑。可以说，Netflix 发展途中一个重要选择，便是从自有投资数据中心，转向了采购云服务，重塑了自己的 IT 成本。再举一个医药行业的案例。根据《自然》（Nature）杂志的数据显示，一款新药的研发成本大约是26亿美元，耗时约10年，成功率却不到1/10。而如果借助人工智能和机器学习（AI/ML）技术，可以轻松在海量的数据中筛选新的靶点，快速找出可能成药的化合物，从而减少药物发现所需的高昂时间成本和资金成本。据Exscientia Company Deck数据显示，比起传统新药研发每年将近2000亿美元的费用，使用AI技术可以减少约35%的研发成本，周期时间也从5至10年缩短到了1-2年。亚马逊云科技在全球服务超过4200家医疗及生命科学领域的用户，其中包括超过1200家生命科学客户；全球前20大药企的19家都在使用亚马逊云科技，在中国超过400家客户，如华大基因、药明康德、百济神州、晶泰科技等，都将业务部署在亚马逊云科技上。这是英矽智能 Chemistry42 全球业务开发总监佩特里娜·卡米亚（Petrina Kamya）博士对于云服务的看法：“利用我们在亚马逊云科技上构建的 PandaOmics 和 Chemistry42 平台，我们能够以2600万美元的成本，在不到18个月的时间内找到了一种治疗纤维化的候选药物，完成了从靶点发现到化合物验证的过程。”通过这些案例可以看出，初创企业往往借助云服务来优化自身IT架构，降本增效是关键；出海企业上云更看中全球化网络和资源局部、本地化合规和数据安全，进而在全球市场挖掘更大的价值； 而对于一些技术密集型企业而言，则需要通过强大而全面的云服务能力来撬动产业创新，占领新的价值高地。浅聊企业案例，显然不够深入，下面从数据库、数据分析和容器开发这三个工具来聊聊。在数据库方面，传统的数据库价格不菲、配置昂贵、但又扩容困难。亚马逊云科技数据库服务 Amazon Aurora Serverless v2，可以做到实时扩容，在不到 1 秒的时间内，即可瞬间扩展到支持几十万个数据处理事务。如此，开发者不需要买大量服务器来匹配峰值的运算需求，而是按需扩容，可以节省高达 90% 的成本。这个量级，在业内领先。我们还以开源形式推出了 Babelfish for Aurora PostgreSQL，让用户直接在云上运行 SQL Server 应用程序，降低传统数据库开支，提升数据库上云后的应用交付效率。在数据分析方面，一直有个痛点，不同端的数据难以流动分析，就像成千上万个太平洋小岛被水面隔绝，难以形成高经济价值的共同体。Amazon Glue Elastic Views可以从多个不同数据源创建实例化视图，简单、高效地将数据孤岛连接起来，形成统一的数据视角。当数据源发生变化时，亚马逊云科技可以在几秒钟内完成同步。让数据像血液一样流动起来，为企业业务运转提供生命力。在容器管理方面，容器和无服务器应用都由非常小的代码段组成，每个代码段通常由不同的团队开发和运维，有独立的基础架构。随着业务发展，在基础设施、开发、运维等团队之间，协调架构配置、代码部署和运维监控等工作也日益复杂，会拖慢应用开发速度。Amazon Proton可以提供更细颗粒度的云服务应用部署管理工具。只需要建一个调用栈，就可以自定义模板，填上相应参数。亚马逊云科技的容器工具，相当于云服务界的“一键”快捷功能，省去了平时多个团队在多个环节的繁杂流程。以上三个工具，还只是云服务强大武器库的冰山一角，但他们的出现，彻底改变了企业IT 部署的形态、成本，也大幅提高了企业的效率。下面，要上个高度了！智能湖仓与数据驱动型企业企业上云背后的目的，无论是解锁新的收入来源、还是降低成本和风险，大量客户案例都指向企业进化的一种新形态——数据驱动型企业。《福布斯》发表过一篇文章，其中写道：“对于一家典型的《财富》 500强公司而言，数据可访问性仅增加10%，即可带来6,500万美元的额外净收入。”在当前商业世界的逻辑下，“数据”已经成为重要的生产资料。在亚马逊云科技，我们将一类公司称为“数据驱动型企业”，即：“企业将数据作为资产要素来驱动持续创新，提出具有可操作性的见解，提升客户体验。”TCL 致力于打造数据驱动型企业，为此他们采用了亚马逊云科技的“智能湖仓”架构，它能打通全球各地区业务和各业务线之间存在的“数据孤岛”，整合全球、全业务场景的数据，并帮助 TCL 用数据驱动用户洞察。在 TCL 看来，“天下武功，唯快不破”，围绕用户的机制是全球化的关键。用亚马逊云科技丰富的大数据分析和机器学习工具，充分挖掘和利用数据价值，用户的细分诉求得以被及时发现。比如用户搜索某个电影，没有获得片源，或者空调发生了故障或需要清洗，云端都可以及时发现和自动处理，大大提升用户体验。那么，到底什么是智能湖仓？智能湖仓并非单一产品，它具有云上完备的工具集和先进的IT架构。下图所示，为真实客户数据与常见数据迁移需求（包括数据分析服务与数据存储间的数据迁移、由内向外、由外向内、周边移动等情况）共同建立的智能湖仓方案。这套智能湖仓架构，可以把它组织成一套五层逻辑堆栈，其中各个层对应着负责满足特定需求的专用组件。下面就是亚马逊云科技平台上的智能湖仓参考架构。它能提供多种专用Amazon服务，能够让不同角色类型之间的数据消费方式互连互通，包括支持交互式SQL查询、商务智能与机器学习等多种分析用例。以数据为核心，在架构上集成了企业今天所需以及未来所需的一切服务。这就是是企业上云最高级的姿势，也是企业所要追求的终极目标——真正成为一个数据驱动型企业。再举个具体的例子，苏泊尔数字化营销系统业务架构图：利用亚马逊云科技 Lake House ‘智能湖仓’方案，苏泊尔将营销系统的支持能力提升了数十倍。苏泊尔CIO郑长华这样评价云服务：“从前端消费者触点延伸到后端供应链，将数据打通并加以充分利用，不仅对苏泊尔品牌的消费者满意度大有裨益，更可对产品服务的研发创新形成‘反哺’。通过数据驱动的运营指导智能化决策，再造业务系统以实现全链条数字化。这些都是云服务带给苏泊尔的深度价值。”最后，关于企业上云这件事，亚马逊云科技有太多故事和案例想要去讲述，希望通过千行百业的客户经验为更多企业和个人解答关于云计算的问题和困惑。如果大家想要了解更多云计算领域的知识点、新鲜事，点击头像关注【亚马逊云科技】官方账号，我们一起拨开迷雾见“真“云！"
DGG,07 19出海密码，等你揭秘！
AIU,云上好物商店｜OCR从原理到工程实践
MDS,亚马逊云科技蝉联中国数据管理解决方案领导者
DBN,云上好物商店｜Amazon MemoryDB助力应用持续稳定
AIU,【活动报名】线下来交友吧！一起创造大数据与AI的有趣发明
GCI,分享亚马逊云科技酷炫前沿技术、听业内人…
GCI,智能物联时代 | 智能生活篇
DBN,#亚马逊云科技新闻# 赋予企业弹性力与创新力的秘密“武器”是什么？云数据库持续进化中！开启究极进化模式，现已能为企业提供全方位的海量数据处理和毫秒级应用响应。点击图片，即刻扫码报名6月1日 #亚马逊云科技云原生数据库在线大会# 10周年庆，邀你了解更多真实案例，拥抱云上创新！ ​
DBN,上新了 亚麻云| 安心追剧打游戏，必不可少的竟然是它
MDS,#亚马逊云科技新闻# 机器学习竟然也可赋能智能化数据分析？#亚马逊云科技# 推出“云、数、智三位一体”的大数据与机器学习融合服务组合，能够帮助企业推进大数据和机器学习的融合，构建云中统一数据治理底座，为机器学习提供生产级别的数据处理能力，以提供给业务人员更加智能的数据分析工具。阅读下方文章，即刻探索机器学习由实验转为规模化落地实践的过程吧！
WEB3,📣分享亚马逊云科技酷炫前沿技术、听业内人士犀利热闻点评、探索云计算行业的未来发展方向。🕖︎《上新了，亚麻云》第九期7月13日19:00火热来袭！本期直播间将直击最热话题Web3，探寻以应用践行智能化未来策略的亚马逊云科技，助力的那些万物互联新生代！‍🎤虚拟社交、虚拟偶像、元宇宙……新一代互联网应用以前所未有的面貌惊艳世界，却不仅止步于此，Web3的深层价值仍有待挖掘。亚马逊云科技以技术为网，携手合作伙伴通过多渠道场景联通勾勒出虚拟与现实并行、紧密联系又相互促进的未来生活图景。🌪️追赶风口，不如恰逢其会。参与新晋顶流话题Web3大讨论，现在就点击下方链接或扫码预约吧~预约戳>>https://www.zhihu.com/theater/58399/forecast/30530进入观看戳 >> https://www.zhihu.com/theater/58399
DBN,Amazon DynamoDB 的10 年之约
DBN,#亚马逊云科技新闻# 沙利文发布中国数据管理系列报告之《2021年中国分布式数据库市场报告》年度报告，#亚马逊云科技#位于领导者象限，且创新指数第一！#亚马逊云科技##云原生数据库#到底有着怎样的“发家史”和“杀手锏”？一篇文章，带你快速了解！文末还可以看完整报告哦~ 中国分布式数据库“领导者”，创新指数第一！ ​​​
AID,05-19 19:00，直播主题「上新了亚麻云｜宅家也能试驾？酷盖最爱赛车体验大放送」，快来订阅我的直播。查看直播预告>>
DBN,#上新了，亚麻云# 第三期将在3月23日19:00准时开播，本期直播会为你“揭秘”保障游戏流畅运行的“幕后高手”，探索量身定制的云托管服务如何助力企业布局全球，应对指数增长的数据大爆炸时代。[举手]微信视频号、哔哩哔哩、知乎搜索@亚马逊云科技 三大平台同步直播。🎁直播期间5轮惊喜好礼大放送，今晚不见不散哦~
MDS,🖥️在大环境的推动下，各个行业都面临着向数字化转型的需求。截至2025年，企业中的数据量将增长三倍， 数字化转型明显是一种趋势📈在转型过程中，会遇到很多问题，这时候就非常考验领导者们如何指定战略，如何推动创新文化，构建包容、多元和可持续的企业文化，带领大家向前发展💪▶️观看视频，对话亚马逊云科技CEO Adam Selipsky，带领我们一起深入了解从领导者的角度，企业云技术培训的核心！
DBN,深度探索通过数据共享（data sharing）优化 Amazon Redshift 工作负载分解
ANN,AWS Redshift是基于PostgreSQL开发的，与官方PostgreSQL相比，优势在哪里？AWS Redshift 是基于PostgreSQL开发的，那它与官方的PostgreSQL相比，优势在哪里？为什么不能直接用官方的Postgres？
GCI,上新了 亚麻云 | “云上”千里眼，变身海外爆款的养成秘诀层出不穷的全新应用场景，带来井喷式的智能视觉市场。亚马逊云科技直播栏目《上新了，亚麻云》第八期聚焦智能视觉产业发展，剖析“云上”千里眼变身海外爆款背后的技术支持。详解企业如何利用亚马逊云计算提供“云-数-质”一体的解决方案快人一步抢占先发市场，以充沛的算力资源、良好的主流框架集成应对客户切实困境。更多干货输出，点击视频观看！
MDS,用大数据拍爆款剧，通过点赞洞察用户的喜好，信息爆炸的时代，谁能玩转大数据，谁就掌握先机！ #上新了，亚麻云# 本期直播带来开学季知识大放送：数字时代，那些通过数据驱动取得成功的企业是如何把握市场先机，改变用户生活，获得用户青睐的？想要跟随大数据时代发展趋势，以数智融合，盘活企业数据资产，为企业创造价值？ 8月31日19:00 让我们相约#亚马逊云科技# 直播间，解锁更多精彩！
AIU,HPC、AI 与云计算：当智能时代三叉戟在亚马逊云科技完美融合
DGG,社交出海，网易智企与亚马逊云科技齐助力
DBN,#亚马逊云科技新闻#还在为读取数据库时间延迟而焦虑烦恼吗？[允悲]Amazon MemoryDB上线啦[憧憬]！快来和 #Netfilx#、Twilio等企业一起体验具有极高的可扩展性，更高效的服务吧！你在使用数据库时都有哪些小心得呢？评论区和我们分享吧~ 
ANN,Alluxio on Amazon EMR 集成实践
ANN,【活动回顾】数据架构演进下的新挑战
GCI,📣分享亚马逊云科技酷炫前沿技术、听业内人士犀利热闻点评、探索云计算行业的未来发展方向。🕖︎《上新了，亚麻云》第七期6月14日19:00直播间将聚焦近年来智能视觉行业发展，邀请嘉宾从底层技术进步说起，聊聊“云上”千里眼，何以变身“爆款”商品。✅人工智能、云端储存等多种底层技术的交互作用，推动爆发式的应用场景创新📈云端创新不仅为商家提供更多产品可能，也带来现有商品升级及长期增值服务市场😎依托亚马逊云科技提供的整体解决方案，业已成功的实践案例分享📶掌握爆款商机，现在就点击下方链接或扫码预约吧~
DGG,【活动报名】9月3日上海站，我们共同探索元宇宙新观
AIS,只需简单代码，立刻喜提阅读理解小能手
DBN,Amazon DynamoDB 的10 年之约
AIU,OPPO 小布助手，与你智趣相投 | 客户案例
MDS,打造数据驱动型企业 | 从思维模式开始变革之路
AIS,数据工程系列精讲（第二讲）：Data-centric AI之特征工程
DGG,出海数字化新时代，企业如何乘风破浪加速创新？
DBM,#亚马逊云科技新闻# Amazon Aurora Serverless v2上线！[送花花] 其成功实现秒级别的自动读取扩展和更细粒度的容量调整。在节约高达90%的成本的同时拥有安全性、可用性和可靠性，适用于为各种应用程序场景管理数据库容量。更多细节，快来查看文章探索！[太开心] 在评论区发表你对数据库的无服务器化架构的见解，和builders一起讨论吧！ 
AIU,云上穿越指南，爷青回！
GCI,智能物联 变革未来｜亚马逊云科技智能物联创新日来袭
DBN,以数字技术赋能企业转型绝非易事，您所在…
DGG,中国企业出海记 | 九安：如何掘金智能视觉全球新“蓝海”
GCI,智能物联时代 | 智能视觉篇
DBM,SaaS时代： 助力医药大健康“云上奔跑”
AIU,数据工程系列精讲（第三讲）: Data-centric AI 之特征工程
AIU,OPPO 小布助手，与你智趣相投 | 客户案例
DBM,云数据库迁移，必备技能轻松get
DGG,🚀 🚀元宇宙时代到来，你愿意按照自己的样子打造一个同款AI数字虚拟人吗？💡 💡国内首个广播级数字人——“时间小妮”，依托亚马逊云科技提供的算力将北京广播电视台主持人春妮自然朗读的7000个句子和形象表情进行影像采集和智能处理，经过情绪仿真（DeepEmotion）引擎，为‘时间小妮’赋予了如同真人情感表达，形象气质、语音语调、口唇表情、肢体动作跟真人的相似度达到97%。👉这一案例的背后是一家专注于人工智能创新与AI数字虚拟人技术的企业——明芒科技。一起来看看亚马逊云科技助力明芒科技刷新AI虚拟偶像体验的故事吧！📣如果有机会，你会打造一个怎样的AI数字虚拟人？评论区聊聊~
MDS,🏆🏆喜报！喜报！亚马逊云科技蝉联中国数据管理解决方案领导者。全球知名的企业增长咨询公司沙利文中国联合头豹研究院发布了《2021年中国数据管理解决方案市场报告》，亚马逊云科技凭借云、数、智融合的智能湖仓架构蝉联领导者，并在增长指数（纵轴）和创新指数（横轴）都获得最高分。📣📣 来看看什么叫“云、数、智三位一体”：✔️ 一是构建云中统一的数字治理底座，打破数据与技能孤岛。✔️ 二是为机器学习提供生产级别的数据处理能力，助力机器学习由实验转为实践。✔️ 三是让数据分析智能化，赋能企业业务人员探索创新。💡💡基于这些，亚马逊云科技云、数、智融合的智能湖仓架构又是什么概念？点击长图，为你揭秘！
DBN,"如何跟「关系数据库」搞好""关系”？ 随着…"
AIU,探路者们｜亚马逊云科技携手日立解决方案，助力企业数字化转型
GCI,⛵️迎风而上，亚马逊云科技助力智能家居企业出海路💡 #智能家居# 行业凭借其丰富的场景与快速增长的市场空间成为了出海的热门赛道。而随着全球智能家居产业进入 AIoT 赋能期，产品功能日益丰富之余，用户对于人机交互体验也提出了更深层的需求，这对于出海企业而言既是挑战，同时也是切入海外市场的巨大机遇。💯亚马逊云科技作为全球云计算领导者，面向人机交互体验这一关键课题给出了优化答卷。在近日举行的“智享生活·边云共建智能家居新航海时代”的主题直播活动中，亚马逊云科技解决方案架构师潘显坤介绍了亚马逊云科技所提供的技术解决方案。从面向 C 端的智能终端到智能家居领域的生产端，亚马逊云科技一直在行动。👇一条长图带您了解，亚马逊云科技如何为智能家居出海计划强势赋能
AIO,数据工程系列精讲（第四讲）: Data-centric AI 之样本工程
DBM,云时代，开启文献管理的全新方式！
DGG,✅ 今日份【出海智囊团】案例：网易智企。🔍社交产品出海作为出海3.0时代中重要的一部分，在近两年尤为大火。随着全球化进程推进，不断催生出多样化的社交体验需求，如何保障全球范围内用户的沉浸式娱乐体验，如何令信息实现畅快、高效地交流和传递，成为限制社交出海产品的重要因素。网易智企，网易旗下一站式企业服务提供商，将亚马逊云科技的全球覆盖视为其良好选择，强强联合在云上打造新一代安全通信服务。👉几张长图带你看看网易智企在内容安全和融合通信方面所做出的突破。
AIU,AI 狂想 | 一场大会，看亚马逊云科技的 AI 新引擎
ANN,Amazon Redshift：十年持续重塑实时数仓能力再升级
MDS,#亚马逊云科技笔记# 什么是数据驱动型企业？数据驱动型企业的核心是什么？“数据”作为新商业模式下最重要的生产资料，是如何影响我们生活的呢？[疑问]#亚马逊云科技# 系列文章将帮你思考自己的工作与商业世界的逻辑，助力#打造数据驱动型企业#。戳>>O打造数据驱动型企业 | 从思维模式开始变革之路 即可查看完整版文章，更多实践和案例为你呈现！
MDS,看亚马逊云科技如何帮助企业实现数字化转型与创新
GCI,万物互联 | 看广云物联如何在云上构建无服务器化的“天匠物联网平台”
DBM,企业数据库“云”迁移中…亚马逊云科技认证助你get满满竞争力！
AIU,使用Amazon SageMaker 构建基于自然语言处理的文本摘要应用
AIU,Amazon Personalize 个性化效果评估，从准确性到多样性、新颖性和偶然性
ANN,Amazon Redshift：十年持续重塑实时数仓能力再升级
GCI,从“制造”到“智造”，中国品牌出海还能这么玩？
GCI,伴随音乐的热浪，亚马逊云科技助力大宇无限扬帆起航
ANL,#我的上云故事#亚马逊云科技携手伊克罗德为快时尚品牌心潮无限，提供“云、数、智”三位一体的解决方案，提升全球线上购物体验，为客户推荐更符合心意的商品，降低退货率，实现大数据时代的“私人创意衣橱”！ 
AIU,AI狂想 | 一场大会，看亚马逊云科技的AI新引擎
AIU,使用基于 Amazon SageMaker 的机器学习服务，辅助白血病诊断
AID,Builders，冲刺吧！[拳头][拳头]#Amazon DeepRacer#自动驾驶赛车INNOVATE主题赛仅剩三天，0基础也可参加！为AI而赛，赢2022 Amazon DeepRacer中国联赛决赛的直通机会及丰厚大礼，赶快扫码报名，与AI大神较量一下!
MDS,📣分享亚马逊云科技酷炫前沿技术、听业内人士犀利热闻点评、探索云计算行业的未来发展方向。🕖︎《上新了，亚麻云》第五期4月26日19:30直播间将邀请重磅嘉宾，揭开“乌卡时代”迷雾！📈面对表面无序而又深度关联的市场变化，企业如何进行数字化转型，应用人工智能、云计算等科技手段，提升核心竞争力。🤵风起于青萍之末，初入职场的社会新鲜人，如何转化思维借助智能数据提升自身“内力”、应对变化时局，职场前辈有话说。📶更多干货，现在就点击下方链接或扫码预约吧~预约戳>> https://www.zhihu.com/theater/58399/forecast/29333
GCI,看广云物联如何在云上构建无服务器化的“天匠物联网平台
MDS,打造数据驱动型企业｜基于数据文化打造现代化数据组织
MDS,【活动报名】User Group 西安 - 用现代化数据架构为企业增长赋能
DGG,火速集结！亚马逊云科技2022中国企业出海季7月盛启！
MDS,创新加速周丨沉浸式体验“数据的奇妙旅程”
AIU,数字工厂的“设备”能说话，智慧教育打破知识的物理围墙，精准医疗大大释放服务效能，智慧家居已经开启进化之路…人工智能，到底有多能？“人工智能新引擎”#亚马逊云科技创新大会# 给你答案，关于市场和企业的探索方向，都在这里！#亚马逊云科技# 与多位行业大咖共聚，邀你一起来看门道!快来报名参会，一探AI的究竟！ 链接
AID,上新了 亚麻云 | 宅家也能试驾？酷盖最爱的赛车体验大放送
DBN,生物学的小伙伴们看过来！构建菌种需要哪几步？#亚马逊云科技# 助力TIBCAS，在云上按下微生物基因编辑的快捷键，构建更绚烂的生物世界。快来阅读文章吧~ °“云中菌”来啦！当菌种自动化构建撞上云计算 ​​​​
ANL,我的上云故事-这是我的架构
MDS,打造数据驱动型企业——基于数据文化打造现代化数据组织
ANL,官宣！Amazon Redshift Serverless 上线
AIU,#亚马逊云科技客户说# 全球首个进入临床的 AI 药物案例是怎么实现的？药物研发降本增收困难重重？#亚马逊云科技#携手英矽智充分发挥人工智能的潜力，4月14日在线研讨会将为大家带来全球数字化药物创新案例和趋势的分享！查看文章即可免费报名！更多创新突破成果，戳>>O网页链接 报名#亚马逊云科技创新大会# ！ °英矽智能使用亚马逊云科技开发候选药物，节约...
AIU,AI狂想 | 一场大会，看亚马逊云科技的AI新引擎
ANN,【活动报名】开源遇上大数据，会擦出怎样的火花？
DBN,"在 ""Cloud + Database"" 新的竞争力焦点下，越来越多的厂商纷纷选择上云。中国数据库行业产品众多，挑战也伴随机遇而生。如何实现差异化竞争？#亚马逊云科技#将于2022年9月1日举行线上【数据库科技盛会】，为初创企业打造全生命周期的需求拆解、解决方案和最佳实践，还将针对数据库初创客户的不同发展阶段定制赋能解决方案，为客户提供免费的上云资源扶持计划。赶快扫码加入，解锁企业的云上锦囊！"
GCI,中国企业出海记 | 猿人创新的独立品牌之路：海外市场没有“捷径”
DBN,百尺竿头更进一步丨Amazon Aurora 读写能力扩展之 ShardingSphere-JDBC 篇
DGG,抢滩元宇宙：AI数字虚拟人破圈出道
AID,上新了 亚麻云 | 宅家也能试驾？酷盖最爱的赛车体验大放送
DBN,"如何跟「关系数据库」搞好""关系”"
DGG,云途专栏 | 解锁新机遇，大宇无限出海新兴市场的这些年
DBN,中国分布式数据库“领导者”，创新指数第一
ANN,使用 Amazon Athena 分析本地 Oracle 数据库导出的数据
AIS,在元宇宙学习云知识是一种怎样的体验？Cloud Quest 带你边玩边学！
DBM,新一代国产 NewSQL 昆仑数据库的云上探索和压测表现
ANL,近日， 亚马逊全球副总裁、首席技术官Werner Vogels博士在亚马逊云科技峰会主题演讲中，宣布了 Amazon Redshift Serverless 正式上线，这项改变云原生数据分析游戏规则的技术创新将会给数据价值带来怎样的裂变？一张长图聊聊Amazon Redshift Serverless的特性，以及Amazon Redshift近期发布的多项创新。Amazon Redshift Serverless特性抢先看：1、 自动扩展资源，而无需管理数据仓库集群2、 自动调配和扩展数据仓库容量，提供一直快速的用户体验3、 利用Amazon Redshift丰富的SQL功能、无缝数据湖集成和业界领先的性价比4、 按秒使用的计算能力和持续时间来计费，空闲时不收费Builder们可以在评论区聊聊对Amazon Redshift的看法~
DBN,【活动报名】TF72 技术创新驱动企业增长
AIS,💻️#机器学习# 正在迅速融入众多企业的日常运营，无论是促进产品和服务创新、推进研究和发现、提升客户体验、提升效率和生产力，还是改进安全性与合规性、优化运营、实现敏捷决策，机器学习无不展现出自身无远弗届的强大能力❗亚马逊云科技长期致力于提供广泛且完整的机器学习服务，并努力将机器学习的能力交到每一位开发者的手中✔️🏫为了更好地帮助开发者以及机器学习爱好者，更好地利用机器学习拓宽职场道路，掌握职场未来财富密码💰️，亚马逊云科技提供免费的机器学习系列课程，这些免费的数字化培训课程已经上线网易云课程。⌛立即扫码， 从机器学习开始领取未来$$密码↓↓↓
DBN,持久化Redis利器Amazon MemoryDB上线!
DBN,云上好物商店｜Amazon ElastiCache应用实践
MDS,如何打通企业内部的数据孤岛？
MDS,亚马逊云科技游戏行业解决方案赋能中国游戏企业高质量全球化发展
MDS,一直很热闹的数据库领域，有哪些事情让你感觉眼前一亮？
EGG,【云咖来了】出海有方谈到“出海”，你是不是想到“MADE IN CHINA”？中国制造曾以“物美价廉”畅销海外。而近些年来，中国出海力量已发生变化，越来越多的企业加速海外扩张。中国企业怎样进行全球化思考，实现本地化运营？本期《云咖来了》邀请来自普华永道、中科创达、神州泰岳、亚马逊云科技的大咖，聊聊中国企业如何安全合规的跑赢“出海”赛道。
AID,#亚马逊云科技新闻#飙车兜风，顺带提升AI技术；冲锋晋级，惊喜奖品样样给力！Amazon DeepRacer自动驾驶赛车新赛季来袭，5月16日开始，Innovate大会季前赛正式开火！新赛制设置大众组和专业组，与更多大神同场比拼，更有乐趣！初夏第一赛，喊你来报名！ ​​​​
ANN,EMR serverless 发布
DGG,#亚马逊云科技新闻#上海首条自动驾驶测试专用道在今天启用了！自动驾驶时代真的要来了吗？[哇]7月14日，亚马逊云科技宣布将围绕自动驾驶、车联网和软件定义汽车三大汽车行业数字化场景，全面赋能汽车行业的数字化转型。[赞]未来的汽车行业到底会迎来怎样的变化？[飞机]一篇文章带你穿越时空，提前畅享一下未来的交通工具，了解汽车行业的发展趋势！
WEB3,上新了 亚麻云 | 以应用场景填充技术骨架，Web3与元宇宙驾云而来
DBN,Amazon DynamoDB 的10 年之约
DBN,💥 10 年前（2012年1月19日），亚马逊云科技推出了 Amazon DynamoDB。Amazon DynamoDB 为云而构建的架构使横向扩展用例成为可能，现在能支持多个高流量 Amazon 站点和系统（包括 Alexa、Amazon .com 和所有 Amazon）的履行中心🔆Amazon DynamoDB 在持续发展进步，亚马逊云科技将继续代表客户进行创新，朝着端到端的现代化数据战略使命迈进✨更多有关 ‘Amazon DynamoDB 的十年之约’ 点击链接查看详情📭
AID,上新了 亚麻云 | 宅家也能试驾？酷盖最爱的赛车体验大放送
AIU,！️在不远的未来，从职场工作、居家办公到吃穿玩乐，AI还将带来哪些神奇的生活指南？让工作成果更加个性化，让线上消费者足不出户也能先试后买，让元宇宙世界随处可到，让直播、游戏更加顺畅好玩……想知道更多？快来#亚马逊云科技创新大会# ，戳→链接，即刻报名，让#人工智能新引擎# 为你开启新生活！
DBN,“云中菌”来啦！当菌种自动化构建撞上云…
DBN,Amazon RDS 凭什么在 Gartner 报告中脱颖而出？
AID,云圈“最大规模的机器学习竞赛”：#Amazon DeepRacer#中国联赛挑战吉尼斯世界纪录™称号活动来啦！想要获得闪闪发光的称号？好奇无人驾驶汽车的原理？希望训练自动驾驶算法模型？无论是IT从业者还是技术小白，或许下一个成功挑战吉尼斯纪录的就是你！查看下方图片报名活动，与来自全球的开发者同场竞技并赢取多重好礼！驰骋赛道，盛夏开燥！让#Amazon DeepRacer#挑战吉尼斯世界纪录™称号比赛，带你感受不一样的炽烈一夏🔥🔥🔥#亚马逊云科技中国峰会#也将在9月22日启幕，马上戳O网页链接报名，一键体验会、展、赛一体的技术盛宴[打call][打call]
AIC,趣味学编程！人工智能时代，云技术给孩子一个快乐领跑的机会！
MDS,最新中国PaaS市场报告说了点啥？
MDS,"#2022世界人工智能大会#（WAIC）来啦！想要了解人工智能与机器学习领域超IN超火的技术趋势与行业洞见？想要探索人工智能在超炫超酷行业的落地方法论与最佳实践？现在，机会来了！2022年9月2日下午13:30-18:00#亚马逊云科技#""人工智能前沿技术趋势与最佳实践""在线分论坛，邀请全球顶尖的人工智能领域技术大咖，探索人工智能最前沿的黑科技，共话人工智能的未来。快来扫码预约吧！"
AIU,AI狂想｜来这场大会，一起盘盘 AI 的新工具
AIS,数据工程系列精讲（第一讲）: Data-centric AI 之特征工程
ANL,年产破亿件的苏泊尔，如何玩转智能营销？
DGG,#中国企业出海季#第三弹来了！国产游戏登上全球畅销榜，都有啥门道？[酷]让经历了几十年主机游戏洗礼的欧美玩家耳目一新的玩法！从海量数据中，找准营销推广的发力点！面对内容审核、个人数据跨境、协议文本等合规风险点，轻松应对！[奋斗]游戏出海既是版号危机下的求生之路，也是中国游戏厂商对外输出优秀文化的交流之旅。[酷炫街舞给手]7月20-21日，#亚马逊云科技##中国企业出海季#系列线上峰会·游戏出海专场即将开启！热爱就来约，一起围观中国游戏出海的三十六计！评论区为你最爱的游戏打call吧~
DBN,Amazon DocumentDB（兼容MongoDB）上线
GCI,AIoT市场如何布局？亚马逊云科技携手中科创达加速行业进化
AIS,一站搞定主流深度学习模型构建与训练！
MDS,🎊 喜报——亚马逊云科技连续第七年被 Gartner 评为云数据库领导者✨亚马逊·四大趋势呼唤数据库技术革命⚪️数据爆炸式增长，数据形态多样化，要求数据库与时俱进。🟠托管数据库服务成为企业加速创新的必然要求。⚪️应用现代化要求专库专用。🟠企业希望摆脱数据传统数据库束缚。亚马逊云科技连续七年被评为领导者，在“执行能力”上获得20家参评厂商的最高位置我们很荣幸得到 Gartner 的认可🤝亚马逊云科技正在努力帮助我们的客户建立自己的现代数据战略，以便他们的业务在未来蓬勃发展💥
GCI,🛒咱就是说，能在海外购物季卖成#爆款#，多少有点黑科技在身上。☁6月14日19:00 #上新了，亚麻云# 直播间将邀请业内人士畅聊科技如何助推智能视觉行业发展，在成本高企、市场竞争激烈的当下创新应用场景、开辟千亿黄金赛道的奥秘。👇 👇 👇现在就扫描下方二维码，布局成为商业升级的妙手~ ​​​​
DBN,"在 ""Cloud + Database"" 新的竞争力焦点下…"
